dataset,grid,pe_type,n,row_mean,row_std_across_seeds,column_mean,column_std_across_seeds,position_mean,position_std_across_seeds,row_cv_std_mean,column_cv_std_mean,position_cv_std_mean,summary_note
ImageNet-100,14x14,Learned,3,76.16666666666667,1.5611047353525862,31.273504273504273,6.304477674354849,84.8639455782313,2.8099849731051556,6.928193238652189,6.553196615331309,0.0,across-seed std
ImageNet-100,14x14,Sinusoidal,1,89.32051282051283,0.0,0.0,0.0,100.0,0.0,5.1082303289903725,0.0,0.0,fixed analytic
CIFAR-100,8x8,Learned,3,51.92307692307691,2.3500388179260736,58.71794871794872,0.8882311833686601,100.0,0.0,5.738995030043366,4.698603928291479,0.0,across-seed std
CIFAR-100,8x8,Sinusoidal,1,86.02564102564104,0.0,0.0,0.0,100.0,0.0,7.435897435897436,0.0,0.0,fixed analytic
TinyImageNet,14x14,Learned,1,81.67948717948718,,49.00000000000001,,96.93877551020408,,8.639960369548968,5.622580566679044,0.0,single seed
TinyImageNet,14x14,Sinusoidal,1,89.32051282051283,0.0,0.0,0.0,100.0,0.0,5.1082303289903725,0.0,0.0,fixed analytic
